position,company,jd,workplace,education,salary
后端工程师,百度,"Java,Python,Go",北京,本科,20000
NLP算法工程师,百度,"pytorch,python,ACL",上海,硕士,30000
后端工程师,百度,"Java,C++,Spring Boot",广东,本科,18000
NLP算法工程师,百度,"tensorflow,python,NLP",浙江,博士,40000
后端工程师,百度,"Python,Django,Flask",湖北,本科,21000
NLP算法工程师,百度,"BERT,python,文本分类",江苏,硕士,35000
后端工程师,百度,"C#,ASP.NET,MVC",福建,本科,19000
NLP算法工程师,百度,"OpenNMT,python,神经网络",四川,博士,38000
后端工程师,百度,"Ruby,Ruby on Rails,REST API",湖南,本科,20000
NLP算法工程师,百度,"GPT-3,python,信息抽取",山东,硕士,32000
后端工程师,美团,"Java,MySQL,Spring",上海,本科,15000
NLP算法工程师,美团,"nlp,deep_learning,transformers",北京,硕士,30000
后端工程师,美团,"Go,Redis,NoSQL",浙江,本科,18000
NLP算法工程师,美团,"nltk,word_embeddings,CUDA",广东,博士,35000
后端工程师,美团,"Node.js,MongoDB,GraphQL",深圳,硕士,20000
NLP算法工程师,美团,"BERT,text_classification,pytorch",四川,本科,25000
后端工程师,美团,"C#,SQL_Server,ASP.NET",天津,硕士,17000
NLP算法工程师,美团,"tensorflow,python,seq2seq",湖南,博士,32000
后端工程师,美团,"PHP,MySQL,Laravel",福建,本科,14000
NLP算法工程师,美团,"fasttext,word2vec,n-grams",河南,硕士,28000
后端工程师,字节,"Java,Python,MySQL",上海,本科,25000
NLP算法工程师,字节,"pytorch,python,ACL",北京,硕士,35000
后端工程师,字节,"Java,Python,MySQL",广东,本科,24000
NLP算法工程师,字节,"Tensorflow,python,ACL",湖南,硕士,34000
后端工程师,字节,"Java,Python,MySQL",浙江,本科,26000
NLP算法工程师,字节,"pytorch,python,ACL",四川,博士,40000
后端工程师,字节,"Java,Python,MySQL",江苏,本科,24500
NLP算法工程师,字节,"Tensorflow,python,CUDA",福建,硕士,36000
后端工程师,字节,"Java,Python,MySQL",河南,本科,23500
NLP算法工程师,字节,"pytorch,python,ACL",山东,博士,39000
后端工程师,阿里,"Java,C++,Spring",北京,本科,25000
NLP算法工程师,阿里,"pytorch,python,ACL",上海,硕士,30000
后端工程师,阿里,"Java,Node.js,MySQL",深圳,本科,24000
NLP算法工程师,阿里,"Tensorflow,DeepLearning,Keras",广东,硕士,32000
后端工程师,阿里,"Go,Python,Django",成都,本科,23000
NLP算法工程师,阿里,"BERT,Attention,CUDA",杭州,博士,40000
后端工程师,阿里,"Java,MongoDB,Redis",南京,本科,24000
NLP算法工程师,阿里,"pytorch,python,NLTK",江苏,硕士,30000
后端工程师,阿里,"C++,Linux,SQL",陕西,本科,23000
NLP算法工程师,阿里,"NLTK,Spacy,Gensim",福建,硕士,29000
后端工程师,小红书,"Java,SpringBoot,MySQL",上海,本科,20000
后端工程师,小红书,"Python,Django,Redis",北京,本科,21000
后端工程师,小红书,"Go,Microservices,Kubernetes",广东,硕士,26000
后端工程师,小红书,"Node.js,Express,MongoDB",浙江,本科,22000
后端工程师,小红书,"C#,ASP.NET,CMS",福建,本科,20000
NLP算法工程师,小红书,"TensorFlow,Python,Word2Vec",上海,硕士,28000
NLP算法工程师,小红书,"PyTorch,Python,Text Mining",北京,博士,38000
NLP算法工程师,小红书,"GPT-3,NLP Algorithms,NLG",江苏,博士,35000
NLP算法工程师,小红书,"BERT,Python,Deep Learning",浙江,硕士,30000
NLP算法工程师,小红书,"NLP Models,Scikit-Learn,ML",广东,硕士,28000
后端工程师,百度,"Java,Python,Node.js",北京,本科,15000
NLP算法工程师,百度,"pytorch,python,ACL",上海,硕士,30000
后端工程师,百度,"Java,Python,Golang",浙江,本科,18000
NLP算法工程师,百度,"pytorch,python,CUDA",广东,博士,40000
后端工程师,百度,"Java,Python,Node.js",湖南,本科,15000
NLP算法工程师,百度,"TensorFlow,python,NLP",四川,硕士,28000
后端工程师,百度,"Java,Python,Django",江苏,本科,16000
NLP算法工程师,百度,"pytorch,C++,NLP",河南,硕士,30000
后端工程师,百度,"Java,Python,Flask",陕西,本科,15000
NLP算法工程师,百度,"pytorch,python,Deep Learning",福建,博士,38000
后端工程师,腾讯,"Java,Python,C++,MySQL",北京,本科,20000
NLP算法工程师,腾讯,"Python,NLTK,Deep Learning,Machine Learning",上海,硕士,30000
后端工程师,腾讯,"Java,Python,Node.js,Oracle",广东,本科,22000
NLP算法工程师,腾讯,"Python,Sklearn,Word2Vec,Gensim",浙江,硕士,32000
后端工程师,腾讯,"Java,C++,Spring Boot,MongoDB",湖北,本科,21000
NLP算法工程师,腾讯,"Python,NLTK, Keras, TensorFlow",福建,博士,40000
后端工程师,腾讯,"Java,Python,PHP,PostgreSQL",江苏,硕士,26000
NLP算法工程师,腾讯,"Python,TensorFlow,PyTorch,Deep Learning",湖南,博士,42000
后端工程师,腾讯,"Java,Python,Ruby,SQLite",四川,本科,24000
NLP算法工程师,腾讯,"Python,CUDA,Deep Learning,AI",辽宁,博士,43000
后端工程师,小红书,"Java,MySQL,SpringBoot",上海,本科,20000
后端工程师,小红书,"Java,MySQL,Redis",北京,本科,22000
后端工程师,小红书,"Java,MySQL,SpringCloud",深圳,硕士,25000
后端工程师,小红书,"Java,MySQL,Docker",杭州,硕士,24000
后端工程师,小红书,"Java,MySQL,Kubernetes",南京,本科,21000
NLP算法工程师,小红书,"Tensorflow,python,BERT",北京,硕士,30000
NLP算法工程师,小红书,"Tensorflow,python,PyTorch",上海,博士,35000
NLP算法工程师,小红书,"Tensorflow,python,ELMo",深圳,硕士,32000
NLP算法工程师,小红书,"Tensorflow,python,ML",杭州,本科,27000
NLP算法工程师,小红书,"Tensorflow,python,OpenAI",南京,博士,34000
后端工程师,腾讯,"Java,Python,C++",北京,本科,25000
后端工程师,腾讯,"Java,Python,Golang",上海,硕士,30000
NLP算法工程师,腾讯,"pytorch,python,ACL",深圳,硕士,35000
NLP算法工程师,腾讯,"tensorflow,python,Hugging Face",广东,博士,40000
后端工程师,腾讯,"Java,Python,Node.js",江苏,本科,28000
NLP算法工程师,腾讯,"BERT,python,GPT-3",四川,硕士,32000
后端工程师,腾讯,"Java,Kotlin,Python",浙江,硕士,31000
NLP算法工程师,腾讯,"Transformer,python,OpenAI",福建,博士,42000
后端工程师,腾讯,"Python,Ruby,Scala",陕西,本科,26000
NLP算法工程师,腾讯,"understanding,python,generation",湖北,硕士,33000
后端工程师,小红书,"Java, Spring Boot, MySQL",北京,本科,25000
后端工程师,小红书,"Python, Django, PostgreSQL",上海,本科,26000
NLP算法工程师,小红书,"TensorFlow, Python, Gensim",广东,硕士,30000
NLP算法工程师,小红书,"PyTorch, Python, NLP",浙江,博士,35000
