education,jobage,salary
大专,0,3000
初中,0,5000
初中,0,5000
初中,0,3500
不限,1,3500
中专,1,5000
中专,1,3800
大专,0,4000
小学,0,3500
大专,0,4000
不限,0,4000
中专,1,8000
不限,0,6000
中专,0,4500
不限,0,4500
中专,1,4500
大专,2,5000
初中,0,3000
不限,3,7000
中专,2,5000
不限,0,6000
大专,0,8000
不限,2,4500
本科,0,3500
初中,1,4500
初中,1,4500
大专,0,5000
本科,0,10000
中专,0,8000
大专,0,80000
初中,1,4500
高中,1,3000
本科,2,4500
本科,1,3000
大专,3,6000
大专,1,4000
不限,1,6000
大专,2,6000
大专,3,4000
本科,1,3500
本科,2,5500
不限,0,6000
不限,0,6000
不限,0,6000
本科,0,6000
高中,2,4000
初中,1,3000
大专,1,3500
不限,0,4000
初中,1,3500
不限,0,3500
本科,3,7000
不限,0,5000
大专,0,3500
中专,0,4000
高中,0,10000
不限,0,3000
大专,0,4000
中专,0,4000
不限,1,4000
大专,0,4000
本科,5,7500
大专,8,8000
不限,2,15000
大专,0,8000
大专,0,4500
大专,3,15000
不限,0,8000
本科,0,4000
不限,0,3000
本科,0,6000
大专,1,5000
大专,1,5000
大专,2,8000
不限,0,15000
初中,0,4500
本科,2,8000
本科,0,6500
大专,5,4000
大专,3,7500
大专,1,5000
大专,1,3000
小学,0,3000
不限,1,4000
中专,0,6000
大专,0,5000
本科,5,10000
大专,0,6000
大专,4,6000
本科,0,4000
不限,0,2500
本科,0,8000
大专,0,5000
本科,0,6000
大专,2,9000
大专,2,8000
大专,2,4500
大专,0,10000
大专,0,14000
本科,1,6000
中专,0,5000
中专,1,4000
本科,3,8000
大专,2,5500
本科,0,8000
大专,1,10000
大专,0,4000
不限,0,4500
不限,0,4000
不限,0,8000
初中,0,3000
不限,1,5500
不限,0,3000
本科,0,4000
大专,2,4000
中专,2,9000
不限,0,4000
不限,1,8000
不限,1,4500
大专,0,5000
大专,3,5000
大专,0,3000
大专,0,3000
初中,1,2500
不限,0,1500
初中,1,3500
高中,1,4000
大专,1,4500
大专,3,8000
初中,0,4000
大专,0,4500
本科,3,8000
不限,0,3500
高中,1,4000
大专,0,6000
大专,1,6000
高中,0,5000
大专,2,8000
大专,0,8000
中专,0,3500
高中,1,10000
大专,2,20000
中专,1,5000
本科,0,6000
不限,0,8000
大专,0,6000
初中,0,5000
大专,0,5000
大专,1,8000
大专,0,6000
中专,1,8000
大专,0,5000
不限,0,5000
不限,3,5000
不限,5,5500
不限,0,4500
不限,2,10000
小学,0,3000
初中,0,4000
大专,3,4000
初中,1,3500
中专,0,6000
不限,1,4000
小学,0,2000
不限,0,3000
大专,2,5000
不限,0,4000
高中,0,3500
中专,0,2500
本科,0,10000
本科,0,5000
不限,1,8000
大专,0,4000
不限,3,6000
大专,0,2800
大专,0,10000
本科,1,10000
大专,0,4000
大专,2,5000
大专,2,3500
大专,1,4000
大专,2,4000
不限,0,4000
不限,0,4000
不限,0,3000
不限,0,8000
不限,2,3000
不限,0,3000
大专,1,4000
高中,2,4000
本科,0,6000
大专,3,4000
不限,0,4000
不限,0,10000
本科,3,6000
大专,0,6000
大专,0,5000
大专,0,4000
不限,0,4000
不限,0,3000
不限,0,3500
不限,0,4000
不限,0,5000
不限,0,3000
不限,0,4500
大专,0,4000
不限,0,10000
大专,2,6000
初中,1,5000
中专,1,3500
大专,3,8000
本科,1,6000
大专,0,8000
大专,0,7500
高中,2,15000
本科,0,4000
高中,1,8000
大专,2,8000
本科,3,12000
大专,1,6000
大专,1,6000
大专,5,3000
大专,1,6000
不限,0,3000
不限,3,10000
大专,2,4000
本科,3,4000
不限,0,8000
本科,3,10000
不限,0,6000
大专,0,3000
高中,0,4000
中专,1,3500
高中,2,3000
不限,0,3000
大专,0,10000
大专,1,4500
不限,0,5000
中专,0,5000
大专,0,4000
高中,0,5000
中专,0,5000
不限,0,5000
不限,0,6000
大专,1,4000
本科,2,8000
不限,2,15000
不限,0,4500
大专,3,5000
本科,5,6000
不限,0,5000
高中,2,5000
不限,1,8000
大专,0,2500
本科,0,6000
中专,0,5000
本科,3,30000
大专,0,10000
本科,1,8000
大专,2,6000
不限,0,4500
不限,2,5500
大专,5,6000
不限,0,2000
本科,0,6000
高中,0,3000
不限,0,2600
大专,2,6000
大专,2,3000
本科,5,6000
大专,0,4000
大专,0,5000
